preset,condition,benchmark,n,correct,accuracy
qwen3.5-0.8b-it,socratic,gsm8k,1345,253,0.1881
qwen3.5-0.8b-it,stoic,gsm8k,1331,522,0.3922
qwen3.5-0.8b-it,wittgenstein,gsm8k,1323,283,0.2139
qwen3.5-0.8b-it,yangming,gsm8k,1310,642,0.4901
qwen3.5-0.8b-it,bacon,humaneval,172,41,0.2384
qwen3.5-0.8b-it,baseline,humaneval,164,41,0.25
qwen3.5-0.8b-it,confucian,humaneval,181,41,0.2265
qwen3.5-0.8b-it,cot,humaneval,164,29,0.1768
qwen3.5-0.8b-it,dao,humaneval,335,84,0.2507
qwen3.5-0.8b-it,falsificationist,humaneval,176,42,0.2386
qwen3.5-0.8b-it,hegelian,humaneval,175,37,0.2114
qwen3.5-0.8b-it,legal,humaneval,176,35,0.1989
qwen3.5-0.8b-it,logician,humaneval,174,43,0.2471
qwen3.5-0.8b-it,military,humaneval,181,47,0.2597
qwen3.5-0.8b-it,mohist,humaneval,178,2,0.0112
qwen3.5-0.8b-it,neutral_long,humaneval,164,31,0.189
qwen3.5-0.8b-it,pragmatist,humaneval,179,41,0.2291
qwen3.5-0.8b-it,socratic,humaneval,174,0,0.0
qwen3.5-0.8b-it,stoic,humaneval,175,33,0.1886
qwen3.5-0.8b-it,wittgenstein,humaneval,174,38,0.2184
qwen3.5-0.8b-it,yangming,humaneval,174,34,0.1954
qwen3.5-0.8b-it,bacon,ifeval,509,253,0.4971
qwen3.5-0.8b-it,baseline,ifeval,477,252,0.5283
qwen3.5-0.8b-it,confucian,ifeval,508,231,0.4547
qwen3.5-0.8b-it,cot,ifeval,477,230,0.4822
qwen3.5-0.8b-it,dao,ifeval,511,257,0.5029
qwen3.5-0.8b-it,falsificationist,ifeval,508,216,0.4252
qwen3.5-0.8b-it,hegelian,ifeval,524,224,0.4275
qwen3.5-0.8b-it,legal,ifeval,502,194,0.3865
qwen3.5-0.8b-it,logician,ifeval,516,229,0.4438
qwen3.5-0.8b-it,military,ifeval,503,210,0.4175
qwen3.5-0.8b-it,mohist,ifeval,515,274,0.532
qwen3.5-0.8b-it,neutral_long,ifeval,954,537,0.5629
qwen3.5-0.8b-it,pragmatist,ifeval,514,269,0.5233
qwen3.5-0.8b-it,socratic,ifeval,514,88,0.1712
qwen3.5-0.8b-it,stoic,ifeval,507,172,0.3393
qwen3.5-0.8b-it,wittgenstein,ifeval,510,222,0.4353
qwen3.5-0.8b-it,yangming,ifeval,514,229,0.4455
qwen3.5-0.8b-it,bacon,mmlu,15028,4945,0.3291
qwen3.5-0.8b-it,baseline,mmlu,14042,6166,0.4391
qwen3.5-0.8b-it,confucian,mmlu,15023,5737,0.3819
qwen3.5-0.8b-it,cot,mmlu,14042,1902,0.1355
qwen3.5-0.8b-it,dao,mmlu,15001,6200,0.4133
qwen3.5-0.8b-it,falsificationist,mmlu,15065,6032,0.4004
qwen3.5-0.8b-it,hegelian,mmlu,15022,5444,0.3624
qwen3.5-0.8b-it,legal,mmlu,15071,5818,0.386
qwen3.5-0.8b-it,logician,mmlu,15085,5610,0.3719
qwen3.5-0.8b-it,military,mmlu,15025,5888,0.3919
qwen3.5-0.8b-it,mohist,mmlu,15050,6504,0.4322
qwen3.5-0.8b-it,neutral_long,mmlu,28084,11792,0.4199
qwen3.5-0.8b-it,pragmatist,mmlu,15049,5118,0.3401
qwen3.5-0.8b-it,socratic,mmlu,15035,3840,0.2554
qwen3.5-0.8b-it,stoic,mmlu,15041,6411,0.4262
qwen3.5-0.8b-it,wittgenstein,mmlu,15039,5979,0.3976
qwen3.5-0.8b-it,yangming,mmlu,15096,6001,0.3975
qwen3.5-0.8b-it,bacon,truthfulqa,879,145,0.165
qwen3.5-0.8b-it,baseline,truthfulqa,817,345,0.4223
qwen3.5-0.8b-it,confucian,truthfulqa,869,378,0.435
qwen3.5-0.8b-it,cot,truthfulqa,817,136,0.1665
qwen3.5-0.8b-it,dao,truthfulqa,876,386,0.4406
qwen3.5-0.8b-it,falsificationist,truthfulqa,873,304,0.3482
qwen3.5-0.8b-it,hegelian,truthfulqa,882,176,0.1995
qwen3.5-0.8b-it,legal,truthfulqa,1693,620,0.3662
qwen3.5-0.8b-it,logician,truthfulqa,874,365,0.4176
qwen3.5-0.8b-it,military,truthfulqa,880,296,0.3364
qwen3.5-0.8b-it,mohist,truthfulqa,877,278,0.317
qwen3.5-0.8b-it,neutral_long,truthfulqa,817,302,0.3696
qwen3.5-0.8b-it,pragmatist,truthfulqa,874,260,0.2975
qwen3.5-0.8b-it,socratic,truthfulqa,861,125,0.1452
qwen3.5-0.8b-it,stoic,truthfulqa,881,335,0.3802
qwen3.5-0.8b-it,wittgenstein,truthfulqa,874,195,0.2231
qwen3.5-0.8b-it,yangming,truthfulqa,879,330,0.3754
qwen3.5-27b-it,bacon,bbh,7004,950,0.1356
qwen3.5-27b-it,baseline,bbh,7269,2133,0.2934
qwen3.5-27b-it,confucian,bbh,6991,1439,0.2058
qwen3.5-27b-it,cot,bbh,6511,812,0.1247
qwen3.5-27b-it,dao,bbh,6973,1045,0.1499
qwen3.5-27b-it,falsificationist,bbh,6947,745,0.1072
qwen3.5-27b-it,hegelian,bbh,6983,944,0.1352
qwen3.5-27b-it,legal,bbh,6961,461,0.0662
qwen3.5-27b-it,logician,bbh,6983,749,0.1073
qwen3.5-27b-it,military,bbh,6994,554,0.0792
qwen3.5-27b-it,mohist,bbh,8926,2548,0.2855
qwen3.5-27b-it,neutral_long,bbh,7466,2117,0.2836
qwen3.5-27b-it,pragmatist,bbh,6971,800,0.1148
qwen3.5-27b-it,socratic,bbh,6986,960,0.1374
qwen3.5-27b-it,stoic,bbh,6952,387,0.0557
qwen3.5-27b-it,wittgenstein,bbh,6969,872,0.1251
qwen3.5-27b-it,yangming,bbh,6962,936,0.1344
qwen3.5-27b-it,bacon,gsm8k,1424,82,0.0576
qwen3.5-27b-it,baseline,gsm8k,2638,2556,0.9689
qwen3.5-27b-it,confucian,gsm8k,1426,1329,0.932
qwen3.5-27b-it,cot,gsm8k,1319,856,0.649
qwen3.5-27b-it,dao,gsm8k,1419,1256,0.8851
qwen3.5-27b-it,falsificationist,gsm8k,1402,50,0.0357
qwen3.5-27b-it,hegelian,gsm8k,1407,58,0.0412
qwen3.5-27b-it,legal,gsm8k,1401,1241,0.8858
qwen3.5-27b-it,logician,gsm8k,1421,1250,0.8797
qwen3.5-27b-it,military,gsm8k,1412,1287,0.9115
qwen3.5-27b-it,mohist,gsm8k,1413,1343,0.9505
qwen3.5-27b-it,neutral_long,gsm8k,1319,1282,0.9719
qwen3.5-27b-it,pragmatist,gsm8k,1412,553,0.3916
qwen3.5-27b-it,socratic,gsm8k,1426,42,0.0295
qwen3.5-27b-it,stoic,gsm8k,1418,878,0.6192
qwen3.5-27b-it,wittgenstein,gsm8k,1407,107,0.076
qwen3.5-27b-it,yangming,gsm8k,1397,420,0.3006
qwen3.5-27b-it,bacon,humaneval,172,59,0.343
qwen3.5-27b-it,baseline,humaneval,164,51,0.311
qwen3.5-27b-it,confucian,humaneval,181,0,0.0
qwen3.5-27b-it,cot,humaneval,164,32,0.1951
qwen3.5-27b-it,dao,humaneval,259,1,0.0039
qwen3.5-27b-it,falsificationist,humaneval,176,18,0.1023
qwen3.5-27b-it,hegelian,humaneval,175,0,0.0
qwen3.5-27b-it,legal,humaneval,176,0,0.0
qwen3.5-27b-it,logician,humaneval,174,0,0.0
qwen3.5-27b-it,military,humaneval,181,22,0.1215
qwen3.5-27b-it,mohist,humaneval,178,42,0.236
qwen3.5-27b-it,neutral_long,humaneval,164,65,0.3963
qwen3.5-27b-it,pragmatist,humaneval,179,16,0.0894
qwen3.5-27b-it,socratic,humaneval,174,0,0.0
qwen3.5-27b-it,stoic,humaneval,175,56,0.32
qwen3.5-27b-it,wittgenstein,humaneval,174,0,0.0
qwen3.5-27b-it,yangming,humaneval,174,16,0.092
qwen3.5-27b-it,bacon,ifeval,503,131,0.2604
qwen3.5-27b-it,baseline,ifeval,477,421,0.8826
qwen3.5-27b-it,confucian,ifeval,507,390,0.7692
qwen3.5-27b-it,cot,ifeval,476,117,0.2458
qwen3.5-27b-it,dao,ifeval,511,425,0.8317
qwen3.5-27b-it,falsificationist,ifeval,507,126,0.2485
qwen3.5-27b-it,hegelian,ifeval,522,132,0.2529
qwen3.5-27b-it,legal,ifeval,501,256,0.511
qwen3.5-27b-it,logician,ifeval,516,316,0.6124
qwen3.5-27b-it,military,ifeval,503,308,0.6123
qwen3.5-27b-it,mohist,ifeval,515,374,0.7262
qwen3.5-27b-it,neutral_long,ifeval,954,836,0.8763
qwen3.5-27b-it,pragmatist,ifeval,509,122,0.2397
qwen3.5-27b-it,socratic,ifeval,512,120,0.2344
qwen3.5-27b-it,stoic,ifeval,505,123,0.2436
qwen3.5-27b-it,wittgenstein,ifeval,501,117,0.2335
qwen3.5-27b-it,yangming,ifeval,509,125,0.2456
qwen3.5-27b-it,bacon,mmlu,15028,0,0.0
qwen3.5-27b-it,baseline,mmlu,14042,12115,0.8628
qwen3.5-27b-it,confucian,mmlu,15023,12039,0.8014
qwen3.5-27b-it,cot,mmlu,14042,11,0.0008
qwen3.5-27b-it,dao,mmlu,15001,12036,0.8023
qwen3.5-27b-it,falsificationist,mmlu,15065,0,0.0
qwen3.5-27b-it,hegelian,mmlu,15022,0,0.0
qwen3.5-27b-it,legal,mmlu,15071,0,0.0
qwen3.5-27b-it,logician,mmlu,15085,0,0.0
qwen3.5-27b-it,military,mmlu,15025,0,0.0
qwen3.5-27b-it,mohist,mmlu,15050,0,0.0
qwen3.5-27b-it,neutral_long,mmlu,28084,24270,0.8642
qwen3.5-27b-it,pragmatist,mmlu,15049,0,0.0
qwen3.5-27b-it,socratic,mmlu,15035,0,0.0
qwen3.5-27b-it,stoic,mmlu,15041,0,0.0
qwen3.5-27b-it,wittgenstein,mmlu,15039,0,0.0
qwen3.5-27b-it,yangming,mmlu,15096,0,0.0
qwen3.5-27b-it,bacon,truthfulqa,879,0,0.0
qwen3.5-27b-it,baseline,truthfulqa,817,0,0.0
qwen3.5-27b-it,confucian,truthfulqa,869,0,0.0
qwen3.5-27b-it,cot,truthfulqa,817,0,0.0
qwen3.5-27b-it,dao,truthfulqa,876,0,0.0
qwen3.5-27b-it,falsificationist,truthfulqa,873,0,0.0
qwen3.5-27b-it,hegelian,truthfulqa,882,0,0.0
qwen3.5-27b-it,legal,truthfulqa,1693,694,0.4099
qwen3.5-27b-it,logician,truthfulqa,874,0,0.0
qwen3.5-27b-it,military,truthfulqa,880,0,0.0
qwen3.5-27b-it,mohist,truthfulqa,877,0,0.0
qwen3.5-27b-it,neutral_long,truthfulqa,817,0,0.0
qwen3.5-27b-it,pragmatist,truthfulqa,874,0,0.0
qwen3.5-27b-it,socratic,truthfulqa,861,0,0.0
qwen3.5-27b-it,stoic,truthfulqa,881,0,0.0
qwen3.5-27b-it,wittgenstein,truthfulqa,874,0,0.0
qwen3.5-27b-it,yangming,truthfulqa,879,0,0.0
qwen3.5-2b-it,bacon,bbh,7004,2248,0.321
qwen3.5-2b-it,baseline,bbh,8585,4125,0.4805
qwen3.5-2b-it,confucian,bbh,6991,2605,0.3726
qwen3.5-2b-it,cot,bbh,6511,2564,0.3938
qwen3.5-2b-it,dao,bbh,6973,2058,0.2951
qwen3.5-2b-it,falsificationist,bbh,6947,2148,0.3092
qwen3.5-2b-it,hegelian,bbh,6983,1258,0.1802
qwen3.5-2b-it,legal,bbh,6961,2158,0.31
qwen3.5-2b-it,logician,bbh,6983,2294,0.3285
qwen3.5-2b-it,military,bbh,6994,1776,0.2539
qwen3.5-2b-it,mohist,bbh,9926,4020,0.405
qwen3.5-2b-it,neutral_long,bbh,8011,4080,0.5093
qwen3.5-2b-it,pragmatist,bbh,6971,2635,0.378
qwen3.5-2b-it,socratic,bbh,6986,2065,0.2956
qwen3.5-2b-it,stoic,bbh,6952,2374,0.3415
qwen3.5-2b-it,wittgenstein,bbh,6969,2130,0.3056
qwen3.5-2b-it,yangming,bbh,6962,2500,0.3591
qwen3.5-2b-it,bacon,gsm8k,1424,1065,0.7479
qwen3.5-2b-it,baseline,gsm8k,2638,2075,0.7866
qwen3.5-2b-it,confucian,gsm8k,1426,957,0.6711
qwen3.5-2b-it,cot,gsm8k,1319,1020,0.7733
qwen3.5-2b-it,dao,gsm8k,1419,883,0.6223
qwen3.5-2b-it,falsificationist,gsm8k,1402,899,0.6412
qwen3.5-2b-it,hegelian,gsm8k,1407,445,0.3163
qwen3.5-2b-it,legal,gsm8k,1401,909,0.6488
qwen3.5-2b-it,logician,gsm8k,1421,935,0.658
qwen3.5-2b-it,military,gsm8k,1412,962,0.6813
qwen3.5-2b-it,mohist,gsm8k,1413,717,0.5074
qwen3.5-2b-it,neutral_long,gsm8k,1319,1019,0.7726
qwen3.5-2b-it,pragmatist,gsm8k,1412,898,0.636
qwen3.5-2b-it,socratic,gsm8k,1426,577,0.4046
qwen3.5-2b-it,stoic,gsm8k,1418,395,0.2786
qwen3.5-2b-it,wittgenstein,gsm8k,1407,965,0.6859
qwen3.5-2b-it,yangming,gsm8k,1397,1062,0.7602
qwen3.5-2b-it,bacon,humaneval,172,63,0.3663
qwen3.5-2b-it,baseline,humaneval,164,29,0.1768
qwen3.5-2b-it,confucian,humaneval,181,57,0.3149
qwen3.5-2b-it,cot,humaneval,164,34,0.2073
qwen3.5-2b-it,dao,humaneval,335,135,0.403
qwen3.5-2b-it,falsificationist,humaneval,176,61,0.3466
qwen3.5-2b-it,hegelian,humaneval,175,41,0.2343
qwen3.5-2b-it,legal,humaneval,176,64,0.3636
qwen3.5-2b-it,logician,humaneval,174,61,0.3506
qwen3.5-2b-it,military,humaneval,181,38,0.2099
qwen3.5-2b-it,mohist,humaneval,178,37,0.2079
qwen3.5-2b-it,neutral_long,humaneval,164,40,0.2439
qwen3.5-2b-it,pragmatist,humaneval,179,65,0.3631
qwen3.5-2b-it,socratic,humaneval,174,10,0.0575
qwen3.5-2b-it,stoic,humaneval,175,67,0.3829
qwen3.5-2b-it,wittgenstein,humaneval,174,71,0.408
qwen3.5-2b-it,yangming,humaneval,174,70,0.4023
qwen3.5-2b-it,bacon,ifeval,509,349,0.6857
qwen3.5-2b-it,baseline,ifeval,477,327,0.6855
qwen3.5-2b-it,confucian,ifeval,508,252,0.4961
qwen3.5-2b-it,cot,ifeval,477,280,0.587
qwen3.5-2b-it,dao,ifeval,511,345,0.6751
qwen3.5-2b-it,falsificationist,ifeval,508,273,0.5374
qwen3.5-2b-it,hegelian,ifeval,524,265,0.5057
qwen3.5-2b-it,legal,ifeval,502,234,0.4661
qwen3.5-2b-it,logician,ifeval,516,319,0.6182
qwen3.5-2b-it,military,ifeval,503,248,0.493
qwen3.5-2b-it,mohist,ifeval,515,334,0.6485
qwen3.5-2b-it,neutral_long,ifeval,954,673,0.7055
qwen3.5-2b-it,pragmatist,ifeval,514,318,0.6187
qwen3.5-2b-it,socratic,ifeval,514,188,0.3658
qwen3.5-2b-it,stoic,ifeval,507,311,0.6134
qwen3.5-2b-it,wittgenstein,ifeval,510,323,0.6333
qwen3.5-2b-it,yangming,ifeval,514,260,0.5058
qwen3.5-2b-it,bacon,mmlu,15028,8412,0.5598
qwen3.5-2b-it,baseline,mmlu,14042,7715,0.5494
qwen3.5-2b-it,confucian,mmlu,15023,8645,0.5755
qwen3.5-2b-it,cot,mmlu,14042,4258,0.3032
qwen3.5-2b-it,dao,mmlu,15001,8388,0.5592
qwen3.5-2b-it,falsificationist,mmlu,15065,8614,0.5718
qwen3.5-2b-it,hegelian,mmlu,15022,7745,0.5156
qwen3.5-2b-it,legal,mmlu,15071,8671,0.5753
qwen3.5-2b-it,logician,mmlu,15085,8459,0.5608
qwen3.5-2b-it,military,mmlu,15025,8583,0.5712
qwen3.5-2b-it,mohist,mmlu,15050,8585,0.5704
qwen3.5-2b-it,neutral_long,mmlu,28084,16422,0.5847
qwen3.5-2b-it,pragmatist,mmlu,15049,8588,0.5707
qwen3.5-2b-it,socratic,mmlu,15035,5761,0.3832
qwen3.5-2b-it,stoic,mmlu,15041,8394,0.5581
qwen3.5-2b-it,wittgenstein,mmlu,15039,8036,0.5343
qwen3.5-2b-it,yangming,mmlu,15096,8245,0.5462
qwen3.5-2b-it,bacon,truthfulqa,879,259,0.2947
qwen3.5-2b-it,baseline,truthfulqa,817,358,0.4382
qwen3.5-2b-it,confucian,truthfulqa,869,434,0.4994
qwen3.5-2b-it,cot,truthfulqa,817,273,0.3341
qwen3.5-2b-it,dao,truthfulqa,876,462,0.5274
qwen3.5-2b-it,falsificationist,truthfulqa,873,343,0.3929
qwen3.5-2b-it,hegelian,truthfulqa,882,599,0.6791
qwen3.5-2b-it,legal,truthfulqa,1693,845,0.4991
qwen3.5-2b-it,logician,truthfulqa,874,238,0.2723
qwen3.5-2b-it,military,truthfulqa,880,369,0.4193
qwen3.5-2b-it,mohist,truthfulqa,877,411,0.4686
qwen3.5-2b-it,neutral_long,truthfulqa,817,373,0.4565
qwen3.5-2b-it,pragmatist,truthfulqa,874,330,0.3776
qwen3.5-2b-it,socratic,truthfulqa,861,771,0.8955
qwen3.5-2b-it,stoic,truthfulqa,881,402,0.4563
qwen3.5-2b-it,wittgenstein,truthfulqa,874,417,0.4771
qwen3.5-2b-it,yangming,truthfulqa,879,387,0.4403
qwen3.5-4b-it,bacon,bbh,7004,751,0.1072
qwen3.5-4b-it,baseline,bbh,8585,5442,0.6339
qwen3.5-4b-it,confucian,bbh,6991,2959,0.4233
qwen3.5-4b-it,cot,bbh,6511,897,0.1378
qwen3.5-4b-it,dao,bbh,6973,2226,0.3192
qwen3.5-4b-it,falsificationist,bbh,6947,814,0.1172
qwen3.5-4b-it,hegelian,bbh,6983,860,0.1232
qwen3.5-4b-it,legal,bbh,6961,3375,0.4848
qwen3.5-4b-it,logician,bbh,6983,1002,0.1435
qwen3.5-4b-it,military,bbh,6994,1307,0.1869
qwen3.5-4b-it,mohist,bbh,9926,5607,0.5649
qwen3.5-4b-it,neutral_long,bbh,8011,4873,0.6083
qwen3.5-4b-it,pragmatist,bbh,6971,915,0.1313
qwen3.5-4b-it,socratic,bbh,6986,927,0.1327
qwen3.5-4b-it,stoic,bbh,6952,564,0.0811
qwen3.5-4b-it,wittgenstein,bbh,6969,827,0.1187
qwen3.5-4b-it,yangming,bbh,6962,769,0.1105
qwen3.5-4b-it,bacon,gsm8k,1424,46,0.0323
qwen3.5-4b-it,baseline,gsm8k,2638,2473,0.9375
qwen3.5-4b-it,confucian,gsm8k,1426,1282,0.899
qwen3.5-4b-it,cot,gsm8k,1319,991,0.7513
qwen3.5-4b-it,dao,gsm8k,1419,1089,0.7674
qwen3.5-4b-it,falsificationist,gsm8k,1402,154,0.1098
qwen3.5-4b-it,hegelian,gsm8k,1407,168,0.1194
qwen3.5-4b-it,legal,gsm8k,1401,1227,0.8758
qwen3.5-4b-it,logician,gsm8k,1421,1170,0.8234
qwen3.5-4b-it,military,gsm8k,1412,1229,0.8704
qwen3.5-4b-it,mohist,gsm8k,1413,1076,0.7615
qwen3.5-4b-it,neutral_long,gsm8k,1319,1229,0.9318
qwen3.5-4b-it,pragmatist,gsm8k,1412,686,0.4858
qwen3.5-4b-it,socratic,gsm8k,1426,43,0.0302
qwen3.5-4b-it,stoic,gsm8k,1418,841,0.5931
qwen3.5-4b-it,wittgenstein,gsm8k,1407,227,0.1613
qwen3.5-4b-it,yangming,gsm8k,1397,441,0.3157
qwen3.5-4b-it,bacon,humaneval,172,1,0.0058
qwen3.5-4b-it,baseline,humaneval,164,112,0.6829
qwen3.5-4b-it,confucian,humaneval,181,116,0.6409
qwen3.5-4b-it,cot,humaneval,164,87,0.5305
qwen3.5-4b-it,dao,humaneval,335,221,0.6597
qwen3.5-4b-it,falsificationist,humaneval,176,1,0.0057
qwen3.5-4b-it,hegelian,humaneval,175,4,0.0229
qwen3.5-4b-it,legal,humaneval,176,116,0.6591
qwen3.5-4b-it,logician,humaneval,174,114,0.6552
qwen3.5-4b-it,military,humaneval,181,117,0.6464
qwen3.5-4b-it,mohist,humaneval,178,54,0.3034
qwen3.5-4b-it,neutral_long,humaneval,164,111,0.6768
qwen3.5-4b-it,pragmatist,humaneval,179,5,0.0279
qwen3.5-4b-it,socratic,humaneval,174,0,0.0
qwen3.5-4b-it,stoic,humaneval,175,31,0.1771
qwen3.5-4b-it,wittgenstein,humaneval,174,4,0.023
qwen3.5-4b-it,yangming,humaneval,174,4,0.023
qwen3.5-4b-it,bacon,ifeval,509,131,0.2574
qwen3.5-4b-it,baseline,ifeval,477,400,0.8386
qwen3.5-4b-it,confucian,ifeval,508,333,0.6555
qwen3.5-4b-it,cot,ifeval,477,121,0.2537
qwen3.5-4b-it,dao,ifeval,511,404,0.7906
qwen3.5-4b-it,falsificationist,ifeval,508,122,0.2402
qwen3.5-4b-it,hegelian,ifeval,524,128,0.2443
qwen3.5-4b-it,legal,ifeval,502,269,0.5359
qwen3.5-4b-it,logician,ifeval,516,319,0.6182
qwen3.5-4b-it,military,ifeval,503,295,0.5865
qwen3.5-4b-it,mohist,ifeval,515,361,0.701
qwen3.5-4b-it,neutral_long,ifeval,954,789,0.827
qwen3.5-4b-it,pragmatist,ifeval,514,130,0.2529
qwen3.5-4b-it,socratic,ifeval,514,119,0.2315
qwen3.5-4b-it,stoic,ifeval,507,120,0.2367
qwen3.5-4b-it,wittgenstein,ifeval,510,122,0.2392
qwen3.5-4b-it,yangming,ifeval,514,124,0.2412
qwen3.5-4b-it,bacon,mmlu,15028,37,0.0025
qwen3.5-4b-it,baseline,mmlu,14042,9963,0.7095
qwen3.5-4b-it,confucian,mmlu,15023,9165,0.6101
qwen3.5-4b-it,cot,mmlu,14042,8,0.0006
qwen3.5-4b-it,dao,mmlu,15001,9875,0.6583
qwen3.5-4b-it,falsificationist,mmlu,15065,0,0.0
qwen3.5-4b-it,hegelian,mmlu,15022,5,0.0003
qwen3.5-4b-it,legal,mmlu,15071,10059,0.6674
qwen3.5-4b-it,logician,mmlu,15085,9473,0.628
qwen3.5-4b-it,military,mmlu,15025,10027,0.6674
qwen3.5-4b-it,mohist,mmlu,15050,10013,0.6653
qwen3.5-4b-it,neutral_long,mmlu,28084,20525,0.7308
qwen3.5-4b-it,pragmatist,mmlu,15049,0,0.0
qwen3.5-4b-it,socratic,mmlu,15035,0,0.0
qwen3.5-4b-it,stoic,mmlu,15041,0,0.0
qwen3.5-4b-it,wittgenstein,mmlu,15039,0,0.0
qwen3.5-4b-it,yangming,mmlu,15096,0,0.0
qwen3.5-4b-it,bacon,truthfulqa,879,0,0.0
qwen3.5-4b-it,baseline,truthfulqa,817,546,0.6683
qwen3.5-4b-it,confucian,truthfulqa,869,336,0.3867
qwen3.5-4b-it,cot,truthfulqa,817,0,0.0
qwen3.5-4b-it,dao,truthfulqa,876,454,0.5183
qwen3.5-4b-it,falsificationist,truthfulqa,873,0,0.0
qwen3.5-4b-it,hegelian,truthfulqa,882,0,0.0
qwen3.5-4b-it,legal,truthfulqa,1693,1128,0.6663
qwen3.5-4b-it,logician,truthfulqa,874,455,0.5206
qwen3.5-4b-it,military,truthfulqa,880,544,0.6182
qwen3.5-4b-it,mohist,truthfulqa,877,575,0.6556
qwen3.5-4b-it,neutral_long,truthfulqa,817,558,0.683
qwen3.5-4b-it,pragmatist,truthfulqa,874,0,0.0
qwen3.5-4b-it,socratic,truthfulqa,861,0,0.0
qwen3.5-4b-it,stoic,truthfulqa,881,0,0.0
qwen3.5-4b-it,wittgenstein,truthfulqa,874,0,0.0
qwen3.5-4b-it,yangming,truthfulqa,879,0,0.0
qwen3.5-9b-it,bacon,bbh,7004,902,0.1288
qwen3.5-9b-it,baseline,bbh,8404,5656,0.673
qwen3.5-9b-it,confucian,bbh,6991,2917,0.4173
qwen3.5-9b-it,cot,bbh,6511,769,0.1181
qwen3.5-9b-it,dao,bbh,6973,2229,0.3197
qwen3.5-9b-it,falsificationist,bbh,6947,839,0.1208
qwen3.5-9b-it,hegelian,bbh,6983,876,0.1254
qwen3.5-9b-it,legal,bbh,6961,2604,0.3741
qwen3.5-9b-it,logician,bbh,6983,593,0.0849
qwen3.5-9b-it,military,bbh,6994,1039,0.1486
qwen3.5-9b-it,mohist,bbh,9676,6919,0.7151
qwen3.5-9b-it,neutral_long,bbh,8011,5285,0.6597
qwen3.5-9b-it,pragmatist,bbh,6971,842,0.1208
qwen3.5-9b-it,socratic,bbh,6986,933,0.1336
qwen3.5-9b-it,stoic,bbh,6952,600,0.0863
qwen3.5-9b-it,wittgenstein,bbh,6969,867,0.1244
qwen3.5-9b-it,yangming,bbh,6962,734,0.1054
qwen3.5-9b-it,bacon,gsm8k,1424,47,0.033
qwen3.5-9b-it,baseline,gsm8k,2638,2489,0.9435
qwen3.5-9b-it,confucian,gsm8k,1426,1277,0.8955
qwen3.5-9b-it,cot,gsm8k,1319,797,0.6042
qwen3.5-9b-it,dao,gsm8k,1419,1169,0.8238
qwen3.5-9b-it,falsificationist,gsm8k,1402,57,0.0407
qwen3.5-9b-it,hegelian,gsm8k,1407,48,0.0341
qwen3.5-9b-it,legal,gsm8k,1401,1153,0.823
qwen3.5-9b-it,logician,gsm8k,1421,1125,0.7917
qwen3.5-9b-it,military,gsm8k,1412,1264,0.8952
qwen3.5-9b-it,mohist,gsm8k,1413,1181,0.8358
qwen3.5-9b-it,neutral_long,gsm8k,1319,1246,0.9447
qwen3.5-9b-it,pragmatist,gsm8k,1412,586,0.415
qwen3.5-9b-it,socratic,gsm8k,1426,52,0.0365
qwen3.5-9b-it,stoic,gsm8k,1418,891,0.6283
qwen3.5-9b-it,wittgenstein,gsm8k,1407,116,0.0824
